epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,36991.4,1.29018,1.00689,1.21257,0.61602,0.70839,0.68783,0.42421,1.30927,0.89309,1.2029,0.00307,0.00307,0.00307
72,37514.7,1.28543,1.00573,1.21281,0.61787,0.70781,0.68754,0.42443,1.30844,0.89162,1.20201,0.002971,0.002971,0.002971
73,38037.3,1.28234,0.99702,1.21112,0.61918,0.70569,0.68809,0.42491,1.30808,0.88969,1.20125,0.002872,0.002872,0.002872
74,38555.2,1.27931,0.99547,1.20809,0.61994,0.70841,0.6886,0.42508,1.30774,0.88833,1.20052,0.002773,0.002773,0.002773
75,39072.7,1.27957,0.98935,1.20852,0.61939,0.70683,0.68805,0.42537,1.30697,0.88719,1.19963,0.002674,0.002674,0.002674
76,39591.5,1.27569,0.98547,1.20692,0.62044,0.70434,0.68803,0.42574,1.30616,0.88623,1.19876,0.002575,0.002575,0.002575
77,40112.1,1.27308,0.98102,1.20089,0.62119,0.7045,0.6881,0.42577,1.30554,0.8848,1.19777,0.002476,0.002476,0.002476
78,40630.6,1.27171,0.98163,1.20276,0.62299,0.70499,0.68902,0.42632,1.30506,0.88326,1.19697,0.002377,0.002377,0.002377
79,41146.7,1.27141,0.97215,1.20049,0.62412,0.70774,0.68923,0.42641,1.3045,0.88229,1.19611,0.002278,0.002278,0.002278
80,41671.9,1.26916,0.96233,1.20026,0.62355,0.70915,0.68974,0.42697,1.30413,0.88121,1.19538,0.002179,0.002179,0.002179
81,42191.3,1.26346,0.96517,1.19396,0.62427,0.70787,0.69001,0.42743,1.30346,0.87988,1.19436,0.00208,0.00208,0.00208
82,42713.2,1.25926,0.95728,1.19529,0.6229,0.71126,0.6902,0.42764,1.30303,0.87887,1.19369,0.001981,0.001981,0.001981
83,565.467,1.26005,0.9565,1.19843,0.6217,0.71395,0.69051,0.42791,1.30274,0.87796,1.19319,0.001882,0.001882,0.001882
84,1120.83,1.259,0.95401,1.19677,0.62193,0.71455,0.69117,0.42826,1.30225,0.87725,1.1928,0.001783,0.001783,0.001783
85,1675,1.258,0.9549,1.19682,0.62227,0.71448,0.69136,0.42847,1.30171,0.87666,1.19238,0.001684,0.001684,0.001684
86,2231.9,1.25494,0.94873,1.1941,0.62199,0.71456,0.69124,0.42868,1.30136,0.87628,1.19202,0.001585,0.001585,0.001585
87,2786.16,1.25001,0.94492,1.18978,0.62818,0.70825,0.69158,0.42881,1.30092,0.87577,1.19158,0.001486,0.001486,0.001486
88,3346.03,1.24732,0.93754,1.189,0.62932,0.7075,0.692,0.42894,1.30056,0.87485,1.19105,0.001387,0.001387,0.001387
89,3905.16,1.24625,0.93281,1.1877,0.63138,0.70301,0.69222,0.42942,1.30032,0.87457,1.19072,0.001288,0.001288,0.001288
90,4461.35,1.24086,0.92553,1.18296,0.63127,0.70428,0.69244,0.42978,1.29986,0.87397,1.19016,0.001189,0.001189,0.001189
91,5003.84,1.23702,0.84427,1.20218,0.62976,0.70761,0.69261,0.42961,1.29944,0.87369,1.18965,0.00109,0.00109,0.00109
92,5544.53,1.22811,0.83242,1.19915,0.62941,0.71097,0.69286,0.42988,1.29864,0.8729,1.18917,0.000991,0.000991,0.000991
93,6087.97,1.21779,0.81903,1.1925,0.63044,0.71087,0.69324,0.43008,1.29818,0.87235,1.18877,0.000892,0.000892,0.000892
94,6627.71,1.21667,0.81318,1.18908,0.62976,0.71169,0.6933,0.43019,1.29754,0.87146,1.18823,0.000793,0.000793,0.000793
95,7171.44,1.2111,0.80598,1.1854,0.62971,0.7121,0.69336,0.43017,1.29701,0.87093,1.18797,0.000694,0.000694,0.000694
96,7713.06,1.20726,0.79802,1.18179,0.62989,0.71257,0.69308,0.43025,1.29638,0.87055,1.18755,0.000595,0.000595,0.000595
97,8255.6,1.20106,0.79318,1.18172,0.62841,0.71378,0.69306,0.43014,1.29583,0.87015,1.18709,0.000496,0.000496,0.000496
98,8797.83,1.19544,0.78588,1.17596,0.62925,0.71384,0.69354,0.43051,1.29548,0.86933,1.18661,0.000397,0.000397,0.000397
99,9343.41,1.1899,0.77832,1.17426,0.62938,0.71574,0.69322,0.43059,1.29535,0.86884,1.1863,0.000298,0.000298,0.000298
100,9892.05,1.19083,0.77739,1.17437,0.62901,0.71485,0.69292,0.43055,1.295,0.8687,1.18611,0.000199,0.000199,0.000199
