epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,134135,1.23504,0.91342,1.29388,0.74537,0.77695,0.78781,0.49878,1.22273,0.68938,1.29609,0.000352037,0.000352037,0.000352037
92,135607,1.23679,0.91516,1.29609,0.74443,0.77775,0.78802,0.49916,1.22201,0.68878,1.29558,0.000342211,0.000342211,0.000342211
93,137077,1.2332,0.91302,1.29527,0.74488,0.77948,0.78859,0.49943,1.2214,0.68821,1.29534,0.000332457,0.000332457,0.000332457
94,138549,1.23127,0.90898,1.2939,0.74623,0.78057,0.78903,0.49963,1.22108,0.68752,1.29528,0.000322778,0.000322778,0.000322778
95,140021,1.2292,0.9071,1.29204,0.74633,0.77977,0.78794,0.49968,1.22051,0.68712,1.29517,0.00031318,0.00031318,0.00031318
96,141491,1.22861,0.90162,1.28823,0.74708,0.77979,0.78884,0.50025,1.22013,0.68669,1.29495,0.000303665,0.000303665,0.000303665
97,142963,1.22778,0.90302,1.28789,0.747,0.78007,0.78764,0.49979,1.21944,0.68609,1.29431,0.000294239,0.000294239,0.000294239
98,144434,1.22933,0.90273,1.28905,0.74775,0.77849,0.7878,0.49991,1.21906,0.68575,1.29386,0.000284906,0.000284906,0.000284906
99,145904,1.22658,0.8963,1.28406,0.74853,0.77664,0.78745,0.49973,1.21899,0.68526,1.29354,0.000275668,0.000275668,0.000275668
100,147373,1.22425,0.89673,1.2855,0.74648,0.77832,0.78702,0.49989,1.21878,0.68435,1.29329,0.000266532,0.000266532,0.000266532
101,148847,1.22417,0.89345,1.28255,0.74731,0.77844,0.78796,0.50002,1.21816,0.68316,1.29249,0.0002575,0.0002575,0.0002575
102,150320,1.22325,0.89263,1.28391,0.74846,0.77829,0.78787,0.50035,1.2176,0.68267,1.29171,0.000248577,0.000248577,0.000248577
103,151795,1.21961,0.88681,1.28066,0.74854,0.77855,0.78731,0.5004,1.21695,0.68263,1.29119,0.000239766,0.000239766,0.000239766
104,153269,1.22201,0.89197,1.28241,0.75036,0.77743,0.78786,0.50014,1.2165,0.68258,1.29081,0.000231071,0.000231071,0.000231071
105,154743,1.21777,0.88578,1.28052,0.75292,0.77449,0.7882,0.50062,1.2162,0.68281,1.29034,0.000222497,0.000222497,0.000222497
106,156218,1.21864,0.88575,1.28067,0.75308,0.77364,0.78824,0.50059,1.21568,0.68236,1.28992,0.000214046,0.000214046,0.000214046
107,157693,1.21805,0.89076,1.28206,0.75426,0.7732,0.78839,0.5006,1.2151,0.6821,1.28946,0.000205723,0.000205723,0.000205723
108,159167,1.2137,0.88183,1.27556,0.7552,0.77161,0.78803,0.50094,1.21482,0.68182,1.28898,0.000197532,0.000197532,0.000197532
